Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"$272,993,000",10.59%,"139,700",$16.55,0.24%,No,False,1.22%,9.57%,18.32%,7.86%,1.50%,"$4,228,880.00",$0.00,"$960,560.00","$52,504,370.00","$78,070,000.00","$23,730,100.00",Real Estate,2010-12-02,0.35%,N/A,$1.51,2026-04-20,$0.12,9.11%,30.39,1.00,31,42.59%,40%,20%,1099,$14.59,$17.10,$16.40,$16.68,61.85,A-,N/A,A,C,A,B-,3.48,0.60%,0.73%,60.14,3.04%,10.09%
SRET,Global X SuperDividend REIT ETF,Real Estate,"$235,031,000",5.78%,"53,852",$22.57,0.18%,No,False,0.80%,9.24%,20.71%,10.40%,2.61%,"$15,900,930.06","$1,614,132.75","$9,769,619.03","$36,702,763.50","-$39,559,889.24","-$154,331,211.94",Real Estate,2015-03-16,0.58%,E*TRADE,$1.76,2026-04-06,$0.15,7.78%,7.80,0.88,32,36.62%,40%,20%,1099,$20.40,$23.24,N/A,N/A,60.65,B+,N/A,C,A,A,B,4.68,1.78%,12.38%,24.72,7.01%,10.60%
FRI,First Trust S&P REIT Index Fund,Real Estate,"$161,110,000",12.00%,"28,548",$30.49,1.30%,No,False,0.13%,8.58%,18.69%,11.40%,5.56%,"-$3,385,500.00","-$6,169,600.00","-$3,256,800.00","-$3,606,600.00","$9,210,450.00","$74,778,350.00",Real Estate,2007-05-08,0.49%,N/A,$0.79,2026-03-26,$0.09,2.60%,33.37,0.99,133,52.87%,40%,20%,1099,$27.66,$31.33,N/A,N/A,61.73,B,N/A,B,B,B,A,5.92,26.35%,29.56%,82.85,3.56%,20.23%
INDS,Pacer Industrial Real Estate ETF,Real Estate,"$114,086,000",9.57%,"11,576",$40.16,0.53%,No,False,0.69%,10.24%,18.12%,3.33%,2.33%,"-$7,587,500.00",$0.00,"-$5,688,500.00","-$36,964,500.00","-$97,833,000.00","-$25,189,000.00",Real Estate,2018-05-14,0.49%,N/A,$1.39,2026-03-05,$0.03,3.45%,0.00,1.11,32,69.91%,40%,20%,1099,$35.64,$41.38,N/A,N/A,59.80,B,N/A,A-,C+,B+,N/A,5.47,10.18%,20.96%,20.55,0.00%,18.12%
RIET,Hoya Capital High Dividend Yield ETF,Real Estate,"$102,479,000",5.40%,"74,265",$9.45,-0.42%,No,False,-0.08%,7.34%,13.58%,8.91%,N/A,"$3,134,400.00",$0.00,"$975,700.00","$16,186,500.00","$77,518,400.00","$119,258,685.08",Real Estate,2021-09-21,0.50%,N/A,$1.03,2026-04-21,$0.09,10.92%,0.00,1.06,102,16.04%,40%,20%,1099,$8.65,$9.77,$9.41,$9.50,57.21,B+,N/A,N/A,B+,A,N/A,3.98,0.22%,1.92%,33.17,3.11%,5.57%
IFGL,iShares International Developed Real Estate ETF,Real Estate,"$87,991,100",2.94%,"14,425",$23.65,-0.42%,No,False,-1.34%,5.95%,18.25%,7.59%,-0.72%,$0.00,$0.00,$0.00,"-$17,712,615.20","-$67,252,905.20","-$112,760,475.20",Global Real Estate,2007-11-12,0.48%,Fidelity,$0.88,2026-03-17,$0.12,3.71%,17.18,0.83,261,29.22%,40%,20%,1099,$21.65,$24.76,$23.52,$23.78,51.94,B-,N/A,B+,A,B,A-,7.07,92.58%,71.41%,66.88,0.00%,40.76%
URE,ProShares Ultra Real Estate,Real Estate,"$55,762,400",17.31%,"4,616",$68.82,2.47%,No,2x,0.55%,18.12%,16.31%,8.91%,-1.59%,"-$5,354,021.00","-$2,117,823.00","-$2,117,823.00","-$9,119,125.00","-$19,232,044.50","-$36,765,817.42",Leveraged Real Estate,2007-01-30,0.95%,N/A,$1.37,2026-03-25,$0.20,1.99%,0.00,2.00,32,65.48%,40%,20%,1099,$56.11,$72.66,$68.13,$69.17,60.62,B+,B-,A-,A-,A-,A+,7.01,84.15%,68.70%,82.6,2.27%,14.35%
BLDG,Cambria Global Real Estate ETF,Real Estate,"$50,686,600",5.91%,"7,527",$25.63,0.20%,No,False,0.25%,5.56%,14.64%,8.51%,3.08%,"$1,911,455.00",$0.00,$0.00,"$10,915,720.00","$24,189,440.00","$41,099,440.00",Global Real Estate,2020-09-24,0.59%,N/A,$1.47,2026-03-20,$0.26,5.73%,0.00,0.80,78,19.67%,40%,20%,1099,$23.39,$26.32,$25.11,$25.95,57.36,C+,N/A,N/A,B+,A+,N/A,4.85,2.08%,13.66%,45.04,1.10%,16.76%
PSR,Invesco Active U.S. Real Estate Fund,Real Estate,"$50,418,100",11.51%,"1,987",$100.01,1.31%,No,False,0.52%,8.84%,14.96%,8.12%,3.00%,"-$1,820,300.00",$0.00,$0.00,"-$12,826,210.00","-$74,068,790.00","-$49,129,590.00",Real Estate,2008-11-20,0.35%,N/A,$2.43,2026-03-23,$0.67,2.43%,35.83,0.98,31,59.96%,40%,20%,1099,$89.92,$102.94,$99.62,$100.23,62.13,C+,N/A,A,B+,C+,B+,6.62,81.44%,51.83%,90.26,4.98%,23.88%
REIT,ALPS Active REIT ETF,Real Estate,"$49,419,100",12.80%,"8,268",$29.44,1.24%,No,False,0.29%,9.08%,16.45%,10.38%,5.49%,"-$627,650.00",$0.00,"-$677,750.00","$957,750.00","$25,100,500.00","$32,916,700.00",Real Estate,2021-02-25,0.68%,N/A,$0.82,2026-03-19,$0.18,2.80%,0.00,0.97,31,56.73%,40%,20%,1099,$26.61,$30.31,N/A,N/A,62.86,B-,N/A,B+,A-,B,N/A,6.08,37.72%,33.05%,93.4,5.59%,23.00%
NETL,Colterpoint Net Lease Real Estate ETF,Real Estate,"$47,944,200",12.87%,"11,229",$26.45,0.69%,No,False,0.20%,7.11%,15.44%,8.05%,2.88%,"$1,266,650.00",$0.00,$0.00,"$6,641,872.50","-$49,127,812.50","-$20,484,887.50",Real Estate,2019-03-21,0.60%,N/A,$1.23,2026-03-27,$0.10,4.65%,0.00,0.89,24,60.09%,40%,20%,1099,$24.12,$27.23,$26.36,$26.54,59.27,B-,N/A,C+,A-,A-,N/A,4.46,5.39%,9.84%,11.99,11.05%,1.61%
DRN,Direxion Daily Real Estate Bull 3X ETF,Real Estate,"$45,661,500",25.15%,"1,062,019",$10.61,3.31%,No,3x,0.66%,27.39%,20.58%,6.93%,-8.03%,"-$19,737,000.00","-$1,055,600.00","-$9,633,650.00","-$14,508,850.00","-$21,545,750.00","-$79,501,100.00",Leveraged Real Estate,2009-07-16,0.98%,N/A,$0.22,2026-03-24,$0.04,2.07%,0.00,2.99,32,66.91%,40%,20%,1099,$7.81,$11.45,N/A,N/A,59.92,A+,C+,A+,C+,B+,A-,6.65,74.39%,53.24%,78.83,2.01%,12.71%
DRV,Direxion Daily Real Estate Bear 3X ETF,Real Estate,"$32,734,300",-23.96%,"157,695",$19.97,-3.43%,Yes,-3x,-1.24%,-22.83%,-25.79%,-23.10%,-18.83%,"-$1,277,650.00","$955,700.00","$742,100.00","-$6,643,450.00","-$80,453,850.00","$87,587,463.88",Leveraged Real Estate,2009-07-16,1.06%,N/A,$0.74,2026-03-24,$0.25,3.68%,0.00,-3.01,1,100.00%,40%,20%,1099,$17.91,$26.87,N/A,N/A,38.54,A-,B,B-,B,B,B,5.53,63.89%,21.90%,1.25,0.00%,0.00%
NURE,Nuveen Short-Term REIT ETF,Real Estate,"$31,796,500",5.34%,"4,216",$29.25,1.25%,No,False,1.92%,8.95%,4.31%,3.50%,1.61%,$0.00,$0.00,$0.00,"-$11,887,373.03","-$20,681,013.02","$21,827,471.98",Real Estate,2016-12-19,0.36%,N/A,$1.38,2026-03-30,$0.38,4.72%,33.32,0.92,32,50.20%,40%,20%,1099,$26.55,$30.01,N/A,N/A,58.18,B-,N/A,A+,C,A-,B,4.52,7.19%,10.70%,43.28,0.00%,9.81%
PPTY,US Diversified Real Estate ETF,Real Estate,"$23,947,500",7.72%,"3,968",$32.18,0.81%,No,False,1.01%,9.07%,12.09%,8.82%,3.02%,"-$6,259,000.00",$0.00,$0.00,"-$22,984,000.00","-$110,513,500.00","-$107,808,000.00",Real Estate,2018-03-26,0.53%,N/A,$0.87,2026-04-16,$0.25,2.70%,0.00,0.97,88,34.28%,40%,20%,1099,$28.97,$33.06,$32.15,$32.19,61.94,B-,N/A,B,C+,B+,N/A,5.49,10.78%,21.31%,106.55,0.00%,22.35%
VRAI,Virtus Real Asset Income ETF,Real Estate,"$17,810,800",19.31%,"3,051",$27.56,0.92%,No,False,0.63%,5.12%,31.32%,10.49%,6.44%,$0.00,$0.00,$0.00,"$1,163,400.00","-$10,648,500.00","-$110,427,150.00",Real Estate,2019-02-07,0.55%,N/A,$0.90,2026-03-20,$0.14,3.28%,0.00,0.74,91,16.53%,40%,20%,1099,$26.88,$27.62,$27.42,$27.68,65.20,C+,N/A,A,A-,A-,N/A,6.02,21.67%,31.52%,505.74,9.84%,5.81%
SRS,ProShares UltraShort Real Estate,Real Estate,"$17,618,200",-16.16%,"13,446",$41.15,-2.33%,Yes,-2x,-0.87%,-15.75%,-16.20%,-11.12%,-7.38%,"-$851,269.00",$0.00,$0.00,"-$799,198.00","-$24,969,097.01","$8,913,189.75",Leveraged Real Estate,2007-01-30,0.95%,N/A,$1.55,2026-03-25,$0.26,3.76%,0.00,-2.01,2,100.00%,40%,20%,1099,$38.52,$50.15,N/A,N/A,38.54,A,C,B,A,B-,A,0.0,N/A,N/A,N/A,N/A,N/A
WTRE,WisdomTree New Economy Real Estate Fund,Real Estate,"$16,085,600",17.15%,"4,063",$24.92,0.24%,No,False,0.15%,14.39%,51.19%,16.21%,1.22%,$0.00,$0.00,$0.00,"-$2,966,950.00","-$15,246,040.00","-$32,029,150.00",Global Real Estate,2007-06-05,0.58%,N/A,$0.52,2026-03-26,$0.02,2.07%,41.69,1.00,62,47.63%,40%,20%,1099,$20.63,$26.21,$24.87,$25.03,63.68,C+,N/A,C,C+,C,N/A,7.04,91.99%,69.89%,177.85,1.29%,25.85%
MVRL,ETRACS Monthly Pay 1.5x Leveraged Mortgage REIT ETN,Real Estate,"$14,144,600",-2.08%,"5,173",$14.68,-0.61%,No,1.5x,1.82%,15.89%,8.15%,-6.34%,-20.60%,$0.00,$0.00,$0.00,"-$8,005,030.00","$1,372,170.00","$1,372,170.00",Leveraged Real Estate,2020-06-02,1.90%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.81,0,N/A,40%,20%,1099,$12.74,$15.35,$14.56,$14.77,54.46,N/A,N/A,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
REK,ProShares Short Real Estate,Real Estate,"$12,077,400",-7.68%,"13,927",$15.81,-1.25%,Yes,-1x,-0.38%,-8.00%,-6.17%,-3.53%,-1.42%,"$1,490,539.00",$0.00,$0.00,"$970,707.00","-$27,072,418.00","$8,614,836.11",Leveraged Real Estate,2010-03-18,0.95%,N/A,$0.52,2026-03-25,$0.08,3.31%,0.00,-1.01,1,100.00%,40%,20%,1099,$15.32,$17.44,$15.78,$15.89,39.22,B-,C,B-,B,C,C,0.0,N/A,N/A,N/A,N/A,N/A
RDOG,ALPS REIT Dividend Dogs ETF,Real Estate,"$10,576,500",9.23%,"1,587",$38.60,0.63%,No,False,0.66%,9.02%,18.92%,10.63%,2.29%,$0.00,$0.00,$0.00,"-$1,804,250.00","-$6,138,750.00","-$15,279,250.00",Real Estate,2008-05-07,0.35%,N/A,$2.47,2026-03-19,$0.58,6.39%,0.00,0.99,47,23.57%,40%,20%,1099,$34.33,$39.96,$38.42,$38.76,60.25,C,N/A,B,C+,A,N/A,4.43,4.79%,9.42%,87.6,4.51%,14.43%
CRED,Columbia Research Enhanced Real Estate ETF,Real Estate,"$3,316,570",11.60%,157,$22.31,1.00%,No,False,0.55%,8.94%,11.49%,N/A,N/A,$0.00,$0.00,$0.00,"-$1,076.50","-$2,060,476.50","-$2,060,476.50",Real Estate,2023-04-26,0.33%,N/A,$1.02,2026-03-26,$0.06,4.56%,26.82,0.88,69,58.37%,40%,20%,1099,$19.95,$23.02,$22.30,$22.32,63.29,C,N/A,A-,A-,A-,A+,6.58,79.64%,49.89%,91.59,6.30%,19.72%
