Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
RWO,State Street SPDR Dow Jones Global Real Estate ETF,Real Estate,"$1,214,720,000",9.61%,"48,518",$49.05,0.31%,No,False,2.25%,4.69%,20.76%,10.52%,3.52%,$0.00,$0.00,$0.00,"-$6,563,596.50","-$256,979,826.00","-$507,685,201.70",Global Real Estate,2008-05-07,0.50%,2 Platforms,$1.62,2026-03-23,$0.28,3.29%,28.65,0.94,225,43.00%,40%,20%,1099,$44.27,$49.21,$48.83,$49.27,63.86,A-,N/A,A,B,B,A-,6.33,25.52%,40.07%,79.61,0.00%,30.73%
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,"$1,097,970,000",11.40%,"32,034",$102.71,0.80%,No,False,2.67%,4.63%,20.08%,11.98%,5.82%,"$44,175,250.00",$0.00,"$2,406,250.00","$97,920,000.00","$134,988,750.00","-$481,839,500.00",Real Estate,2018-06-15,0.11%,N/A,$2.90,2026-03-24,$0.40,2.82%,0.00,1.00,108,50.24%,40%,20%,1099,$92.38,$102.76,$102.42,$102.86,67.16,B,N/A,B+,B-,B,N/A,5.86,21.56%,28.62%,75.9,3.68%,20.41%
HAUZ,DBX ETF Trust - Xtrackers International Real Estate ETF,Real Estate,"$1,062,730,000",3.75%,"108,761",$24.08,-0.41%,No,False,1.90%,4.60%,20.81%,8.37%,0.58%,"$85,794,500.00","$3,566,450.00","$29,590,200.00","$173,741,300.00","$368,794,700.00","$679,525,850.00",Global Real Estate,2013-10-01,0.10%,N/A,$1.04,2025-12-19,$0.57,4.30%,0.00,0.77,402,23.03%,40%,20%,1099,$21.73,$24.39,$24.00,$24.22,55.62,A-,N/A,C,A,A-,N/A,6.76,83.98%,57.68%,64.46,1.25%,32.75%
REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,"$832,403,000",6.89%,"60,602",$88.33,0.33%,No,False,1.82%,1.32%,11.24%,10.80%,5.31%,"$4,733,652.05","-$4,354,394.70","-$168,141.10","-$32,283,428.85","$88,698,021.25","$306,581,240.80",Real Estate,2007-05-01,0.48%,N/A,$1.90,2025-12-16,$0.91,2.15%,43.93,0.88,39,68.06%,40%,20%,1099,$81.19,$88.72,$88.03,$88.57,60.12,B+,N/A,A,B-,C+,B+,4.9,8.38%,14.05%,58.5,0.00%,15.22%
AVRE,Avantis Real Estate ETF,Real Estate,"$778,379,000",8.79%,"65,316",$47.32,0.79%,No,False,2.42%,4.71%,17.37%,8.75%,N/A,"$54,815,312.00",$0.00,"$8,882,924.00","$159,142,368.00","$412,817,068.00","$716,444,500.00",Global Real Estate,2021-09-28,0.17%,N/A,$1.64,2026-03-10,$0.04,3.46%,0.00,0.92,325,40.39%,40%,20%,1099,$42.40,$47.47,$47.15,$47.42,65.47,B+,N/A,N/A,B+,B+,N/A,6.46,45.70%,45.45%,77.72,2.24%,26.04%
REM,iShares Mortgage Real Estate ETF,Real Estate,"$581,379,000",1.86%,"850,821",$22.42,-1.92%,No,False,0.65%,5.33%,25.23%,11.14%,-0.83%,"-$63,491,380.80",$0.00,"-$5,084,833.40","-$36,455,389.85","-$12,071,156.35","-$544,120,858.60",Real Estate,2007-05-01,0.48%,N/A,$1.98,2026-03-17,$0.16,8.82%,10.75,1.25,33,71.92%,40%,20%,1099,$20.28,$22.90,$22.27,$22.70,55.44,A,N/A,C,C,A,B,4.49,5.99%,10.19%,1.87,0.00%,0.01%
MORT,VanEck Mortgage REIT Income ETF,Real Estate,"$406,834,000",1.83%,"1,824,911",$10.33,-1.90%,No,False,0.68%,5.18%,24.66%,11.31%,-0.74%,"$31,405,720.00","$1,538,955.00","$1,184,040.00","$119,729,465.00","$257,179,190.00","$240,696,175.00",Real Estate,2011-08-16,0.42%,N/A,$1.32,2026-04-01,$0.36,12.79%,8.87,1.23,26,70.18%,40%,20%,1099,$9.36,$10.55,$10.26,$10.45,55.20,A,N/A,C,C,A+,C+,4.25,3.59%,2.78%,2.06,0.00%,0.01%
SRVR,Pacer Data & Infrastructure Real Estate ETF,Real Estate,"$391,408,000",22.24%,"95,310",$34.76,1.67%,No,False,3.85%,7.82%,24.64%,8.73%,0.87%,"-$44,104,440.00","$8,360,975.00","$8,360,975.00","-$51,746,730.00","-$359,723,970.00","-$434,423,760.00",Real Estate,2018-05-15,0.49%,N/A,$0.92,2026-03-05,$0.24,2.65%,0.00,0.99,65,69.66%,40%,20%,1099,$29.62,$34.76,$34.49,$34.89,70.14,B+,N/A,C+,B-,C,N/A,8.23,100.00%,97.70%,392.32,14.00%,32.95%
GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,"$368,225,000",8.52%,"14,018",$63.80,0.38%,No,False,1.75%,4.23%,19.28%,10.68%,3.48%,"-$317,550.00",$0.00,"$2,937,090.00","-$81,221,770.00","-$18,368,255.00","$42,538,665.00",Global Real Estate,2013-11-05,0.45%,N/A,$2.75,2026-03-20,$0.08,4.31%,28.00,0.94,136,37.03%,40%,20%,1099,$57.84,$64.25,$63.62,$63.97,62.56,B,N/A,B+,A-,A-,N/A,6.56,64.39%,48.99%,47.65,5.29%,22.11%
RWX,State Street SPDR Dow Jones International Real Estate ETF,Real Estate,"$280,089,000",2.78%,"34,868",$28.58,-0.07%,No,False,2.33%,4.84%,17.27%,6.22%,-0.51%,"-$19,740,522.95","-$6,988,480.25","-$11,142,773.15","-$21,705,039.15","-$177,603,736.90","-$463,613,075.55",Global Real Estate,2006-12-14,0.59%,TD Ameritrade,$1.02,2026-03-23,$0.19,3.55%,15.90,0.79,124,29.24%,40%,20%,1099,$25.80,$28.86,$28.50,$28.70,57.00,A,N/A,B,A-,B-,B+,7.12,93.18%,73.26%,54.94,0.00%,47.89%
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,"$271,638,000",9.23%,"139,684",$16.47,0.24%,No,False,2.97%,6.80%,18.68%,7.30%,1.37%,"$4,228,880.00","$959,760.00","$960,560.00","$53,419,790.00","$68,106,970.00","$28,735,900.00",Real Estate,2010-12-02,0.35%,N/A,$1.51,2026-03-23,$0.12,9.16%,30.39,1.00,31,42.59%,40%,20%,1099,$14.75,$16.50,$16.40,$16.55,62.99,A-,N/A,A,C,A,B-,3.48,0.60%,0.73%,60.14,3.04%,10.09%
SRET,Global X SuperDividend REIT ETF,Real Estate,"$232,761,000",4.94%,"57,018",$22.39,-0.44%,No,False,2.05%,4.02%,22.96%,10.02%,2.49%,"$14,286,797.31","$6,415,416.26","$8,109,320.32","$33,446,928.19","-$40,018,937.73","-$154,367,249.10",Real Estate,2015-03-16,0.58%,E*TRADE,$1.76,2026-04-06,$0.15,7.84%,7.80,0.88,32,36.62%,40%,20%,1099,$20.28,$22.56,$22.32,$22.50,60.70,B+,N/A,C,A,A,B,4.68,1.78%,12.38%,24.72,7.01%,10.60%
FRI,First Trust S&P REIT Index Fund,Real Estate,"$167,593,000",11.86%,"25,485",$30.45,0.79%,No,False,2.66%,4.58%,21.27%,12.14%,5.86%,"$2,784,100.00","$1,491,400.00","$83,300.00","$2,563,000.00","$19,008,400.00","$80,947,950.00",Real Estate,2007-05-08,0.49%,N/A,$0.79,2026-03-26,$0.09,2.60%,33.37,0.99,133,52.87%,40%,20%,1099,$27.49,$30.43,$30.30,$30.52,67.70,B,N/A,B,B,B,A,5.92,26.35%,29.56%,82.85,3.56%,20.23%
INDS,Pacer Industrial Real Estate ETF,Real Estate,"$113,145,000",8.82%,"11,476",$39.89,0.81%,No,False,2.47%,4.73%,19.15%,3.51%,2.38%,"-$7,587,500.00",$0.00,"-$5,688,500.00","-$36,964,500.00","-$99,859,500.00","-$27,231,500.00",Real Estate,2018-05-14,0.49%,N/A,$1.39,2026-03-05,$0.03,3.47%,0.00,1.11,32,69.91%,40%,20%,1099,$35.40,$40.03,$39.75,$40.05,61.16,B,N/A,A-,C+,B+,N/A,5.47,10.18%,20.96%,20.55,0.00%,18.12%
RIET,Hoya Capital High Dividend Yield ETF,Real Estate,"$103,344,000",5.47%,"73,342",$9.54,-0.52%,No,False,1.81%,4.75%,16.41%,9.17%,N/A,"$3,134,400.00",$0.00,"$2,217,500.00","$16,186,500.00","$77,920,100.00","$119,258,685.08",Real Estate,2021-09-21,0.50%,N/A,$1.03,2026-03-17,$0.09,10.82%,0.00,1.06,102,16.04%,40%,20%,1099,$8.70,$9.59,N/A,N/A,60.49,B+,N/A,N/A,B+,A,N/A,3.98,0.22%,1.92%,33.17,3.11%,5.57%
IFGL,iShares International Developed Real Estate ETF,Real Estate,"$88,616,000",4.33%,"14,921",$23.97,-0.08%,No,False,1.98%,4.45%,22.26%,7.91%,-0.55%,$0.00,$0.00,$0.00,"-$17,712,615.20","-$67,252,905.20","-$112,760,475.20",Global Real Estate,2007-11-12,0.48%,Fidelity,$0.88,2026-03-17,$0.12,3.66%,17.18,0.83,262,29.22%,40%,20%,1099,$21.51,$24.23,N/A,N/A,57.27,B-,N/A,B+,A,B,A-,7.07,92.58%,71.41%,66.88,0.00%,40.76%
URE,ProShares Ultra Real Estate,Real Estate,"$57,763,100",16.68%,"4,039",$68.45,1.78%,No,2x,4.89%,8.04%,19.58%,9.78%,-1.04%,"-$3,236,198.00",$0.00,$0.00,"-$7,586,566.00","-$17,114,221.50","-$34,647,994.42",Leveraged Real Estate,2007-01-30,0.95%,N/A,$1.37,2026-03-25,$0.20,2.00%,0.00,2.00,32,65.48%,40%,20%,1099,$55.10,$68.77,$68.17,$68.61,65.31,B+,B-,A-,A-,A-,A+,7.01,84.15%,68.70%,82.6,2.27%,14.35%
